	id	price	surface	country	index
317	01G6N8XBHWT4AGZ56GFPH2FHEE	60.6	100.0	Romania	0.606
318	01G6N8X3Y8FGVMYKMB37CV5CFY	2800.0	290.0	Republic	9.655172413793103
319	01G6N8X8WRPJN9N665E9A9ND0N	1290.0	89.0	Belgium	14.49438202247191
320	01G6N8WRSHPKNQ6BT2G7W27XQG	745.88	33.0	Netherlands	22.60242424242424
321	01G6N8WBHZTVW21DPBWNPSW3G9	720.0	12.0	Italy	60.0
322	01G6N8X15C0C1X0VSCCCY3Z34P	956.0	50.0	Finland	19.12
324	01G6N8WT332BMFB1BWP6SXC562	1735.5	100.0	Denmark	17.355
325	01G6N8X0W144F3RP1VJAJEAS3W	1350.0	123.0	Finland	10.975609756097562
326	01G6N8X3Q5P6QWABJECWB3CJK6	3800.0	203.0	Republic	18.7192118226601
327	01G6N8XDN5D56CHZ14FTFDC9GH	750.0	60.0	Estonia	12.5
328	01G6N8WMG0JGSADNA5B8ZZQNA2	799.0	55.0	Austria	14.527272727272727
329	01G6N8WQKCAE8E5EN2321QSRNX	1550.0	134.0	Portugal	11.567164179104477
330	01G6N8X10FX4AAH2C28K92VRS2	1050.0	37.0	Finland	28.37837837837838
331	01G6N8WVBXN07BXMA454WHH4XY	1299.3500000000001	106.0	Denmark	12.25801886792453
333	01G6N8X4A9GQPQY7A4K4CNMAVS	104.7438	70.0	Bulgaria	1.49634
334	01G6N8X2G9BBHJJE6TSBYDQ70D	660.0	47.0	Republic	14.042553191489361
335	01G6N8WW11GFNQQGVE9JDKCGYV	420.0	54.0	Poland	7.777777777777778
336	01G6N8WY5316E7JVSE2SPM6EDG	2016.0	76.0	Iceland	26.526315789473685
338	01G6N8WWJD1F7GD67DYKYSAYBN	378.0	56.0	Poland	6.75
339	01G6N8XBMHPS295JXXSGZCV1FG	70.0	65.0	Romania	1.0769230769230769
340	01G6N8WN6DSN825H5PAMXBS8D0	1435.0	81.0	Switzerland	17.71604938271605
342	01G6N8WW2YE52EVABTQ026TSD9	1260.0	300.0	Poland	4.2
343	01G6N8X053Z03EDAR5G5WKARP6	1072.71	69.0	Sweden	15.546521739130435
346	01G6N8WX2DV1DPWRETY6FMGFFX	1050.0	100.0	Poland	10.5
347	01G6N8WRXMSS984ZX1P7430E35	2000.0	99.0	Netherlands	20.2020202020202
348	01G6N8WQHK5AQS8M3SS92C2E90	590.0	43.0	Portugal	13.720930232558139
349	01G6N8WR9HQ3WT6GPRBDH6FSMN	2650.0	160.0	Netherlands	16.5625
350	01G6N8WGVMAWY5F78PHV9K0RPZ	598.06	34.0	Austria	17.59
353	01G6N8WSWY8Y87EP233RXQ2RR9	1254.5	88.0	Denmark	14.255681818181818
354	01G6N8WSF4VS9Y7NQB8F9YY72V	1200.0	44.0	Netherlands	27.272727272727273
355	01G6N8WSJCABGCMMB07H6Q8PZ5	980.0	43.0	Netherlands	22.790697674418606
357	01G6N8X258MZ4RNHATARYXHXDV	500.0	25.0	Finland	20.0
358	01G6N8X8QYWNXN0X9K36951M11	650.0	50.0	Belgium	13.0
361	01G6N8XDJRE8A2V71M9Q2JYXTW	500.0	32.0	Estonia	15.625
363	01G6N8WHEC0AAHF48VBSGPM4AJ	698.0	60.0	Austria	11.633333333333333
364	01G6N8WFAGQ9HYBD3PZQJ7YA75	750.0	52.0	Spain	14.423076923076923
366	01G6N8WXGKABGNTM8BQ784EN1N	409.5	30.0	Poland	13.65
367	01G6N8X68N4VVKGBYYV7NXD8C8	500.0	48.0	Hungary	10.416666666666666
368	01G6N8WDCVM8FBTEXKJPR0480M	1200.0	70.0	Italy	17.142857142857142
369	01G6N8WMWBZNP54MRN0NQBZ8TK	2.0	75.0	Austria	0.02666666666666667
370	01G6N8X02GJ9A0G8ZGBPJMESRC	990.0	96.0	Sweden	10.3125
371	01G6N8WGS60DT6ENBACYVY80CF	2450.0	71.0	France	34.50704225352113
372	01G6N8WGNSWHTBWC2SBN8JZTFD	3800.0	80.0	France	47.5
374	01G6N8WNRH9F74G08HMYYEZ5HQ	1430.0	985.0	Switzerland	1.4517766497461928
375	01G6N8X6FQXNEWS2R40PH87FQC	1400.0	55.0	Lithuania	25.454545454545453
376	01G6N8WD2JHDA5MPRTMC8WDPXJ	840.0	30.0	Italy	28.0
379	01G6N8X5MB12QF04BCMP7KNAK8	400.0	55.0	Hungary	7.2727272727272725
